ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode;;;;;
"2014-07-31T12:09:53Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",206107,AT,80.121.12.37,unknown,Setting Yourself Up For Sarcasm,Get Scared,Cheap Tricks And Theatrics,spotify:track:5V61JS7M1f41nzsjuND4EN,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-07-31T15:40:18Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",17530,AT,80.121.12.37,unknown,Call Me Maybe,Upon This Dawning,Punk Goes Pop 5,spotify:track:1t3ZusSEVclGThmI8aX96s,,,,trackdone,endplay,False,1.0,False,0,False";;;;;
"2014-07-31T15:50:38Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",183480,AT,80.121.12.37,unknown,I'm Glad You Came,We Came As Romans,Punk Goes Pop 5,spotify:track:2RQbEcvlZuC6LkVBVQjQw5,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-07-31T15:58:13Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",206936,AT,80.121.12.37,unknown,Ashley,Escape the Fate,This War Is Ours,spotify:track:461RZaiXQvRcSjxvdbVxBq,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-08-02T15:20:30Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",4318,AT,88.117.126.187,unknown,CASTLE OF GLASS,Linkin Park,LIVING THINGS,spotify:track:1r1fPuhj9H4VdXr7OK6FL5,,,,trackdone,fwdbtn,False,1.0,False,0,False";;;;;
"2014-08-02T15:20:35Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",3065,AT,88.117.126.187,unknown,Not The American Average,Asking Alexandria,Stand Up And Scream,spotify:track:17C4oPQ3sTpF11pi9yvGcs,,,,fwdbtn,fwdbtn,False,1.0,False,0,False";;;;;
"2014-08-02T16:13:07Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",102771,AT,88.117.126.187,unknown,Bulletproof Love,Pierce The Veil,Selfish Machines,spotify:track:6bGac1gBHs7kUKihrudMzq,,,,trackdone,endplay,False,1.0,False,0,False";;;;;
"2014-08-03T12:43:08Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",222160,AT,80.121.8.231,unknown,For The Likes Of You,""Woe, Is Me"",Number[s],spotify:track:6pzoTR1ggIHonrvMWisZVj,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-08-13T06:49:26Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",213740,AT,194.112.182.212,unknown,A Love Like War (feat. Vic Fuentes),All Time Low,Don't Panic: It's Longer Now!,spotify:track:7vBBL9qR7sgvb0vD04iLTk,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-08-14T05:14:52Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",1532,AT,213.162.68.140,unknown,You Only Live Once,Suicide Silence,The Black Crown,spotify:track:7oaHtCQsAKIFFBCRDty9yn,,,,fwdbtn,endplay,False,1.0,False,0,False";;;;;
"2014-08-18T12:01:55Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",51501,AT,91.115.107.1,unknown,""If I'm James Dean, You're Audrey Hepburn"",Sleeping With Sirens,With Ears To See And Eyes To Hear,spotify:track:1wFRkVclQWfMQQcaVLjmBE,,,,trackdone,appload,False,1.0,False,0,False";;;;;
"2014-08-27T07:46:39Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",5433,AT,80.121.15.100,unknown,Right Now (Na Na Na) (Akon cover),Asking Alexandria,Punk Goes Pop Volume Three,spotify:track:7fetx5ooAJ1GTdVEch9IkZ,,,,fwdbtn,fwdbtn,False,1.0,False,0,False";;;;;
"2014-08-29T14:00:09Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",153480,AT,62.46.154.65,unknown,Nine in the Afternoon - Single Mix,Panic! At The Disco,Pretty. Odd.,spotify:track:1S30kHvkkdMkcuCTGSgS41,,,,trackdone,trackdone,True,0.0,False,0,False";;;;;
