ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode;;;;
"2014-07-30T15:35:13Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",45371,AT,62.46.153.145,unknown,Last Resort,Papa Roach,To Be Loved: The Best Of Papa Roach,spotify:track:4V05j7HDUU2bZQwDOeIySh,,,,appload,endplay,False,1.0,False,0,False";;;;
"2014-08-03T19:27:30Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",238880,AT,80.121.8.231,unknown,The Victim,Memphis May Fire,The Hollow,spotify:track:25yhTVpFSBx2FrxEuPl74Z,,,,trackdone,trackdone,False,0.0,False,0,False";;;;
"2014-08-11T04:27:31Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",232546,AT,212.197.142.17,unknown,To Plant a Seed,We Came As Romans,Equal Vision Records Presents: New Sounds 2011,spotify:track:2Zs5OJihFmTkBdqJOJlMiQ,,,,trackdone,trackdone,False,0.0,False,0,False";;;;
"2014-08-11T04:54:44Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",187613,AT,212.197.142.17,unknown,I Write Sins Not Tragedies,Panic! At The Disco,A Fever You Can't Sweat Out,spotify:track:4bPQs0PHn4xbipzdPfn6du,,,,trackdone,trackdone,False,0.0,False,0,False";;;;
"2014-08-11T05:02:55Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",113592,AT,212.197.142.17,unknown,Raised By Wolves,Falling In Reverse,The Drug In Me Is You,spotify:track:3HEEKHUHGK0jXjvuQhZqKs,,,,trackdone,endplay,False,1.0,False,0,False";;;;
"2014-08-12T19:50:27Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",25660,AT,178.191.17.192,unknown,Shake It,Metro Station,Metro Station,spotify:track:5619Ojc6t9evEEs3B7Drhe,,,,trackdone,appload,False,1.0,False,0,False";;;;
"2014-08-13T04:26:36Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",37505,AT,178.191.17.192,unknown,Faint,Linkin Park,Meteora,spotify:track:4Yf5bqU3NK4kNOypcrLYwU,,,,appload,endplay,False,1.0,False,0,False";;;;
"2014-08-13T04:33:14Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",278600,AT,178.191.17.192,unknown,Before I Forget,Slipknot,Vol. 3: The Subliminal Verses,spotify:track:6wqJeItl3Vc3az4ZicSQAB,,,,fwdbtn,trackdone,False,0.0,False,0,False";;;;
"2014-08-13T04:39:13Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",112105,AT,178.191.17.192,unknown,All These Things I Hate (Revolve Around Me),Bullet For My Valentine,The Poison (Deluxe Version),spotify:track:7pgHwgQ4fQGHUSux4P949x,,,,trackdone,fwdbtn,False,1.0,False,0,False";;;;
"2014-08-13T20:02:00Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",1532,AT,88.117.122.41,unknown,The Legacy,Black Veil Brides,Set The World On Fire,spotify:track:6JmFaPmu6hks7cGes9YHxT,,,,fwdbtn,endplay,False,1.0,False,0,False";;;;
"2014-08-18T04:47:53Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",6315,AT,178.191.21.214,unknown,Apologize (One Republic cover),Silverstein,Punk Goes Pop Volume Two,spotify:track:78J3aedr4LVG2U605JQFKa,,,,trackdone,endplay,False,1.0,False,0,False";;;;
"2014-08-18T12:01:57Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",3808,AT,91.115.107.1,unknown,Crucify Me (feat. Lights),Bring Me The Horizon,There is a Hell Believe Me I've Seen It. There is a Heaven Let's Keep it a Secret,spotify:track:3I0sLAfseLWFkRtGKxmrCc,,,,appload,fwdbtn,False,1.0,False,0,False";;;;
"2014-08-27T07:46:35Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",124133,AT,80.121.15.100,unknown,Good Girls Bad Guys,Falling In Reverse,The Drug In Me Is You,spotify:track:0cL0SigjjxAZgxdcJiKiv7,,,,appload,fwdbtn,False,1.0,False,0,False";;;;
"2014-08-27T09:32:33Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",3111,AT,80.121.15.100,unknown,The Final Episode (Let's Change Channel),Asking Alexandria,Stand Up And Scream,spotify:track:0CqCpm4LLQbHUX5ysizWJS,,,,fwdbtn,fwdbtn,False,1.0,False,0,False";;;;
"2014-08-28T17:26:31Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",2600,AT,62.46.154.65,unknown,Props & Mayhem,Pierce The Veil,Collide With The Sky,spotify:track:54dPAY8Ecj83gSloOlhlK1,,,,fwdbtn,fwdbtn,False,1.0,False,0,False";;;;
"2014-08-28T17:52:48Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",311106,AT,62.46.154.65,unknown,Welcome to the Black Parade,My Chemical Romance,The Black Parade,spotify:track:5wQnmLuC1W7ATsArWACrgW,,,,trackdone,trackdone,False,0.0,False,0,False";;;;
2014-09-22T20:33:46Z,resi_maresi,Windows 8 (6.2.9200; x64),118700,AT,80.121.13.167,unknown,How to Disappear Completely,Radiohead,Kid A,spotify:track:03KRkF62P0whzOVY8v3KGj,,,,trackdone,endplay,True,1.0,False,0,False;;;
"2014-09-22T20:50:18Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",183240,AT,80.121.13.167,unknown,Devil Town,Bright Eyes,Noise Floor (Rarities: 1998-2005),spotify:track:20Lo9M6nfdIAWrzPPV4yY0,,,,trackdone,trackdone,True,0.0,False,0,False";;;;
"2014-09-25T18:13:59Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",374027,AT,212.197.143.4,unknown,Ashes And Snow,Ken Peel,Marginal,spotify:track:55InBHc6qcI9XyS5EzsFYU,,,,trackdone,endplay,True,1.0,False,0,False";;;;
2014-09-29T21:17:18Z,resi_maresi,Windows 8 (6.2.9200; x64),283400,AT,213.240.104.101,unknown,Flake,Jack Johnson,Brushfire Fairytales (Remastered),spotify:track:0yo8lQMdjioEBW7eux4X0L,,,,trackdone,trackdone,True,0.0,False,0,False;;;
"2014-09-30T19:42:47Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",239573,AT,91.114.170.156,unknown,The New National Anthem,Pierce The Veil,Selfish Machines,spotify:track:0LRrtw1MFASb7tgyHqVXnh,,,,trackdone,trackdone,False,0.0,False,0,False";;;;
2014-10-08T20:13:29Z,resi_maresi,Windows 8 (6.2.9200; x64),125520,AT,91.113.69.31,unknown,Avril 14th,Aphex Twin,Drukqs,spotify:track:2MZSXhq4XDJWu6coGoXX1V,,,,trackdone,trackdone,True,0.0,False,0,False;;;
2014-10-20T20:53:19Z,resi_maresi,Windows 8 (6.2.9200; x64),17507,AT,80.121.13.177,unknown,Meeting in the Aisle,Radiohead,OK Computer,spotify:track:5dg2kFy5Xlw9vycAffA1p8,,,,trackdone,endplay,True,1.0,False,0,False;;;
2014-10-26T17:57:44Z,resi_maresi,Windows 8 (6.2.9200; x64),66142,AT,80.121.89.127,unknown,,,,,,,,trackdone,endplay,False,1.0,False,0,False;;;
2014-10-28T15:36:14Z,resi_maresi,Windows 8 (6.2.9200; x64),204693,AT,213.240.111.230,unknown,Raised By Wolves,Falling In Reverse,The Drug In Me Is You,spotify:track:3HEEKHUHGK0jXjvuQhZqKs,,,,unknown,trackdone,False,0.0,False,0,False;;;
2014-10-28T15:40:50Z,resi_maresi,Windows 8 (6.2.9200; x64),235533,AT,213.240.111.230,unknown,Rolling In The Deep (Adele Cover),Go Radio,Lucky Street (Deluxe Edition),spotify:track:0372MmQ8gLLUb0qcSFVUAy,,,,trackdone,trackdone,False,0.0,False,0,False;;;
2014-10-28T16:45:40Z,resi_maresi,Windows 8 (6.2.9200; x64),188891,AT,213.240.111.230,unknown,,,,,,,,trackdone,trackdone,False,0.0,False,0,False;;;
"2014-10-31T10:58:16Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",229386,AT,213.240.110.67,unknown,In The End,Black Veil Brides,In the End,spotify:track:5jcUBmKzxC49xfovTdJinq,,,,trackdone,trackdone,False,0.0,False,0,False";;;;
"2014-10-31T11:09:29Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",184546,AT,213.240.110.67,unknown,A Little Faster,There For Tomorrow,A Little Faster (Deluxe Edition),spotify:track:4bjTE58GfwcqGIfQkdZ7U5,,,,trackdone,trackdone,False,0.0,False,0,False";;;;
"2014-11-02T20:16:31Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",13838,AT,80.121.99.126,unknown,You Belong With Me,All Those Sleeping,Punk Goes Pop Volume 4,spotify:track:4DQbnMuV7yzlPlBxRLtcWN,,,,appload,fwdbtn,False,1.0,False,0,False";;;;
"2014-11-02T20:23:43Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",273626,AT,80.121.99.126,unknown,Fuck Everything,Suicide Silence,The Black Crown,spotify:track:2ZpxsG2TuignNO528gpBbr,,,,trackdone,trackdone,False,0.0,False,0,False";;;;
"2014-11-05T19:24:03Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",224120,AT,194.118.10.163,unknown,The Arms of Sorrow,Killswitch Engage,As Daylight Dies,spotify:track:42lC6bnDdAjRqZtsFe1tmg,,,,fwdbtn,trackdone,False,0.0,False,0,False";;;;
"2014-11-15T17:49:58Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",246186,AT,188.23.121.72,unknown,Zombie,Jamie T,Carry On The Grudge,spotify:track:5tbZBnWJAw72ZRjmMsrh0D,,,,trackdone,trackdone,True,0.0,False,0,False";;;;
2014-11-16T20:55:22Z,resi_maresi,Windows 8 (6.2.9200;" x64),371,AT,80.121.102.120,unknown,""Sometimes You're The Hammer, Sometimes You're The Nail"",A Day To Remember,Common Courtesy,spotify:track:5rDPm1vZz9YD4Eu86GS6E6,,,,trackdone,endplay,False,1.0,False,0,False";;;
2014-11-16T21:06:29Z,resi_maresi,Windows 8 (6.2.9200; x64),1486,AT,80.121.102.120,unknown,And I Told Them I Invented Times New Roman,Dance Gavin Dance,Downtown Battle Mountain,spotify:track:7CR0CfMEC6BZBuYLaKSbu9,,,,fwdbtn,fwdbtn,False,1.0,False,0,False;;;
2014-11-16T21:10:22Z,resi_maresi,Windows 8 (6.2.9200; x64),229466,AT,80.121.102.120,unknown,Dark Passenger,Motionless In White,Reincarnate,spotify:track:6BftpWr0F7QOw9aND8KyJU,,,,fwdbtn,trackdone,False,0.0,False,0,False;;;
2014-11-17T20:49:52Z,resi_maresi,Windows 8 (6.2.9200; x64),244426,AT,88.117.125.224,unknown,Throw Your Roses,The Color Morale,Hold On Pain Ends,spotify:track:40jbV82Ea5wQYL1SHFPTQX,,,,trackdone,trackdone,False,0.0,False,0,False;;;
2014-11-17T20:57:58Z,resi_maresi,Windows 8 (6.2.9200; x64),255611,AT,88.117.125.224,unknown,Puppets 3 (The Grand Finale),Motionless In White,Reincarnate,spotify:track:3f9W8NoAep4q8JpijNC6i1,,,,trackdone,trackdone,False,0.0,False,0,False;;;
2014-11-17T21:15:59Z,resi_maresi,Windows 8 (6.2.9200; x64),230093,AT,88.117.125.224,unknown,Sleepwalking,Bring Me The Horizon,Sempiternal,spotify:track:0gchQwxmBWj5no8NJ8b2yH,,,,trackdone,trackdone,False,0.0,False,0,False;;;
2014-11-17T21:22:55Z,resi_maresi,Windows 8 (6.2.9200; x64),204313,AT,88.117.125.224,unknown,Sick From The Melt,Motionless In White feat. Trevor Friedrich,Infamous,spotify:track:6QdYmbRjGb58wFybaq0ilN,,,,trackdone,trackdone,False,0.0,False,0,False;;;
2014-11-18T20:55:20Z,resi_maresi,Windows 8 (6.2.9200;" x64),61254,AT,212.197.140.222,unknown,Don't You Dare Forget The Sun,Get Scared,""Built For Blame, Laced With Shame"",spotify:track:07B2bEU1AzIRVmdpYgE2aJ,,,,trackdone,,False,1.0,False,0,False";;;
2014-11-20T18:55:04Z,resi_maresi,Windows 8 (6.2.9200; x64),9659,AT,62.46.154.85,unknown,Jealous,Nick Jonas,Jealous,spotify:track:1HTvqpSZrJ27fKdhpnot3S,,,,clickrow,endplay,False,1.0,False,0,False;;;
2014-11-20T19:01:50Z,resi_maresi,Windows 8 (6.2.9200; x64),211386,AT,62.46.154.85,unknown,The Weigh Down,The Amity Affliction,Let the Ocean Take Me,spotify:track:63wYoblqcJImFMIIscrkPT,,,,trackdone,trackdone,False,0.0,False,0,False;;;
"2014-11-20T21:56:25Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",15275,AT,62.46.154.85,unknown,Lullaby,Lord Huron,Lonesome Dreams,spotify:track:0zIjcFMa8XEIaXxTZbjIue,,,,appload,appload,False,1.0,False,0,False";;;;
"2014-12-01T18:15:38Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",37662,AT,194.118.13.184,unknown,Call Me Maybe,Carly Rae Jepsen,Call Me Maybe,spotify:track:5unfeZUhKhICP73CDYBW4N,,,,appload,endplay,False,1.0,False,0,False";;;;
2014-12-01T18:31:02Z,resi_maresi,Windows 8 (6.2.9200; x64),209373,AT,194.118.13.184,unknown,Father Christmas,Man Overboard,Punk Goes Christmas,spotify:track:7urWCR6IwbMtgz9hlt2bAX,,,,clickrow,trackdone,False,0.0,False,0,False;;;
"2015-01-09T12:12:19Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",209453,AT,212.197.136.134,unknown,Break Free,Of Mice & Men,Restoring Force,spotify:track:42EfeKhnVCyCjiNKxC3nDT,,,,appload,trackdone,False,0.0,False,0,False";;;;
"2015-01-11T20:25:13Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",35898,AT,194.118.8.70,unknown,Self-Destruct Personality,Falling In Reverse,Fashionably Late [Deluxe Edition],spotify:track:0lezKgSlny9QqEbm42SCOj,,,,appload,appload,False,1.0,False,0,False";;;;
"2015-01-11T20:30:00Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",287960,AT,194.118.8.70,unknown,Goodbye Graceful,Falling In Reverse,The Drug In Me Is You,spotify:track:1ZDsZYIADp4zF8n4q6rLob,,,,appload,trackdone,False,0.0,False,0,False";;;;
"2015-01-11T20:33:39Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",219066,AT,194.118.8.70,unknown,Crown Of Thorns,Black Veil Brides,Black Veil Brides,spotify:track:6QDJAJfZZT5ZdIQd688cgc,,,,trackdone,trackdone,False,0.0,False,0,False";;;;
"2015-01-12T19:07:07Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",223546,AT,212.197.163.240,unknown,Hell Above,Pierce The Veil,Collide With The Sky,spotify:track:6acg7alJHidbiANf22ZylO,,,,trackdone,trackdone,False,0.0,False,0,False";;;;
"2015-01-25T18:23:28Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",193826,AT,80.121.89.220,unknown,Paint Your Target,Fightstar,Deep Elm Records Sampler 7 - Defending the Kingdom,spotify:track:5muPjtLue0Qwlpny6b6tKC,,,,trackdone,trackdone,True,0.0,False,0,False";;;;
"2015-01-28T06:26:04Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",254037,AT,91.114.175.194,unknown,See You On The Outside,blessthefall,Hollow Bodies,spotify:track:2YjtAllAdBNVp19vbh04J3,,,,appload,trackdone,False,0.0,False,0,False";;;;
"2015-01-28T06:49:35Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",290139,AT,91.114.175.194,unknown,The Appeal & The Mindsweep I,Enter Shikari,The Mindsweep,spotify:track:0uIrUyiOnzIvPPfARt97Wp,,,,trackdone,trackdone,False,0.0,False,0,False";;;;
"2015-01-28T07:12:46Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",247146,AT,91.114.175.194,unknown,Times Like These,blessthefall,His Last Walk,spotify:track:4sGDn7yIt6X8r5d7Rnwqds,,,,fwdbtn,trackdone,False,0.0,False,0,False";;;;
"2015-01-28T07:16:28Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",221906,AT,91.114.175.194,unknown,Drown,Bring Me The Horizon,Drown,spotify:track:5DoGCnGoFglf9FBCfq5mVb,,,,trackdone,trackdone,False,0.0,False,0,False";;;;
"2015-01-30T21:12:37Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",200880,AT,178.191.21.202,unknown,The Sharpest Lives,My Chemical Romance,The Black Parade,spotify:track:2kMjk14RmYyYhhSbipoa9U,,,,appload,trackdone,False,0.0,False,0,False";;;;
"2015-01-30T21:30:16Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",225693,AT,178.191.21.202,unknown,Empire (Let Them Sing),Bring Me The Horizon,Sempiternal,spotify:track:1DbdQp5dwuawBGmxSHw6Fr,,,,fwdbtn,trackdone,False,0.0,False,0,False";;;;
"2015-03-24T17:46:42Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",281160,AT,212.197.140.17,unknown,Heart-Shaped Box,Nirvana,In Utero - 20th Anniversary - Deluxe Edition,spotify:track:4OaV9UYQ3EfrBRPjoO6u7c,,,,trackdone,trackdone,True,0.0,False,0,False";;;;
"2015-03-27T05:47:48Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",2972,AT,91.113.64.204,unknown,""Dear Maria, Count Me In"",All Time Low,""So Wrong, It's Right (Deluxe Version)"",spotify:track:3ZsexY07D4t4HRq7ogeSAS,,,,fwdbtn,fwdbtn,False,1.0,False,0,False";;;;
"2015-03-27T05:48:56Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",66878,AT,91.113.64.204,unknown,Chasing Ghosts,The Amity Affliction,Chasing Ghosts,spotify:track:6oBNLa5bgoKppvKqT25RmE,,,,fwdbtn,fwdbtn,False,1.0,False,0,False";;;;
"2015-04-02T14:41:31Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",9658,AT,194.118.13.55,unknown,Johnny Ringo,Crown The Empire,Limitless,spotify:track:5uxHTiFxxUO9l3KSdz44tP,,,,appload,fwdbtn,False,1.0,False,0,False";;;;
"2015-04-02T14:48:37Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",191013,AT,194.118.13.55,unknown,Still Ydg'n,Of Mice & Men,The Flood (Deluxe Reissue),spotify:track:7LwrsuA9AphUydTczDWCNy,,,,trackdone,trackdone,False,0.0,False,0,False";;;;
