endTime,artistName,trackName,msPlayed
2022-12-05 18:39,Joey Fehrenbach,Hindsight,403186
2022-12-05 18:42,Radiohead,Lotus Flower,134336
2022-12-05 18:43,Information Society,A Knife and a Fork/R.I.P.,3320
2022-12-05 18:43,Equinox,Phenomena,100680
2022-12-05 18:47,VonnBoyd,Ember,235346
2022-12-05 18:51,Propellerheads,Spybreak! - Short One,244400
2022-12-05 18:58,Option,Spanish Lace,406610
2022-12-05 19:04,Solar Fields,Unite (Origin 2007),353513
2022-12-05 19:11,Front Line Assembly,Equilibrium,430400
2022-12-05 19:16,Stellardrone,Airglow,316923
2022-12-05 19:23,The Crystal Method,Keep Hope Alive,372800
2022-12-05 19:27,James Holden,Each Moment Like the First,256166
2022-12-05 23:24,"Let's Talk About Myths, Baby! Greek & Roman Mythology Retold","Eatin' Kids & Killin' Dads, an Introduction to Greek Mythology",1325844
2022-12-06 07:33,"Let's Talk About Myths, Baby! Greek & Roman Mythology Retold","Eatin' Kids & Killin' Dads, an Introduction to Greek Mythology",2793
2022-12-06 07:35,Summerbruise,"Stop the World, I Want to Goof Off",121848
2022-12-06 07:39,Hot Mulligan,"Shaylee, Shanel",269889
2022-12-06 07:42,Modern Baseball,Coals,131536
2022-12-06 07:44,The Front Bottoms,Lipstick Covered Magnet,154426
2022-12-06 07:48,Retirement Party,Are You My Mother?,224289
2022-12-06 07:52,Prawn,Settled,228000
2022-12-06 07:55,The Menzingers,I Don't Wanna Be An Asshole Anymore,184840
2022-12-06 08:06,Pool Kids,$5 Subtweet,51957
2022-12-06 14:03,Pool Kids,$5 Subtweet,91070
2022-12-06 14:05,McCafferty,Loser.,116613
2022-12-06 14:09,"hey, nothing",Party Brain,175890
2022-12-06 14:11,The World Is A Beautiful Place & I Am No Longer Afraid To Die,You Can't Live There Forever,141300
2022-12-06 14:14,McCafferty,"Yours, Mine, Hours",136571
2022-12-06 17:16,McCafferty,"Yours, Mine, Hours",86801
2022-12-06 17:18,Sincere Engineer,Let You Down,146480
2022-12-06 17:20,Mom Jeans.,What's Up?,141908
2022-12-06 17:23,Neck Deep,Can't Kick Up The Roots,140593
2022-12-06 19:23,Neck Deep,Can't Kick Up The Roots,28924
2022-12-06 19:27,The Front Bottoms,love at first sight,240720
2022-12-06 19:41,City and Colour,The Girl,360106
2022-12-06 19:44,Arm's Length,Watercolour,199888
2022-12-06 19:58,Free Throw,Rinse. Repeat.,160130
2022-12-06 20:02,Bo Burnham,All Eyes On Me (Song Only),212860
2022-12-06 20:18,Modern Baseball,Wedding Singer,166781
2022-12-07 10:45,James Holden,Each Moment Like the First,41112
2022-12-07 10:46,Naux Faux,Psyopia,16427
2022-12-07 10:57,Phutureprimitive,Boundless,178270
2022-12-07 10:58,deadmau5,Polaris,70070
2022-12-07 11:05,Ben Watts,Overcome,397241
2022-12-07 11:09,The Flashbulb,The Trees In Russia,235453
2022-12-07 11:17,Aphex Twin,We Are the Music Makers,463520
2022-12-07 11:22,Naux Faux,Psyopia - Bassnectar Remix,298666
2022-12-07 11:25,Orbital,Tiny Foldable Cities - Edit,219079
2022-12-07 11:28,Legendcast,Grief,175200
2022-12-07 11:30,Mellow Sonic,Monolith,83618
2022-12-07 11:33,Sophia Syndicate,Freedom,194228
2022-12-07 11:38,God Is An Astronaut,A Moment of Stillness,281333
2022-12-07 11:56,nervous_testpilot,The Forgiven Geometry,340676
2022-12-07 12:02,zircon,System,337404
2022-12-07 12:03,H.U.V.A. Network,"Orientations, Pt. 2 (Ephemeride 15.43°)",80196
2022-12-07 12:08,Trifonic,Nightrun - Comaduster Remix,301313
2022-12-07 12:12,nervous_testpilot,Vision,246356
2022-12-07 13:59,nervous_testpilot,Vision,1040
2022-12-07 14:07,Milosh,Hold Me - Instrumental,493872
2022-12-07 14:10,Aphex Twin,Flim,177093
2022-12-07 14:17,Dirty Doering,Cape of Good Hope,412500
2022-12-07 14:27,Mellow Sonic,Bermuda Triangle,488181
2022-12-07 16:28,Modern Baseball,Wedding Singer,1164
2022-12-07 16:33,We Were Promised Jetpacks,It's Thunder and It's Lightning,288933
2022-12-07 16:36,Tiny Moving Parts,Day Drunk,159999
2022-12-07 16:39,Hot Mulligan,"If You Had Spun Out In Your Oldsmobile, This Probably Wouldn't Have Happened",178836
2022-12-07 16:44,Mat Kerekes,Riding in Your Car,274832
2022-12-07 16:47,picture.nothing.,inadequate,178241
2022-12-07 16:51,The Front Bottoms,2YL,251240
2022-12-07 16:56,Marietta,God Bless Eric Taylor,290050
2022-12-07 16:59,Modern Baseball,The Quark,174500
2022-12-07 17:03,Car Seat Headrest,Romantic Theory,222857
2022-12-07 17:04,Glocca Morra,"Irrevocable, Motherfucker",3794
2022-12-07 17:04,Real Friends,I've Given Up on You,1895
2022-12-07 17:04,The Front Bottoms,More Than It Hurts You,53189
2022-12-07 17:10,The Wonder Years,Came Out Swinging,190748
2022-12-07 17:36,Marietta,"You've Got the Map Backwards, Matt",0
2022-12-07 17:36,"Slaughter Beach, Dog",104 Degrees,1450
2022-12-07 17:40,Spanish Love Songs,The Boy Considers His Haircut,235736
2022-12-07 17:44,Tigers Jaw,I Saw Water,187478
2022-12-07 17:54,YUNGBLUD,Lemonade (with Denzel Curry),165685
2022-12-07 18:10,I Prevail,Hurricane,223173
2022-12-07 18:11,My Chemical Romance,Teenagers,1111
2022-12-07 18:11,Fall Out Boy,Fourth Of July,23
2022-12-07 18:11,GAYLE,abcdefu,65651
2022-12-07 18:11,Fall Out Boy,Alone Together,7608
2022-12-07 18:18,Stand Atlantic,Lavender Bones,1710
2022-12-07 18:18,Hot Milk,Wide Awake,171226
2022-12-07 18:34,Stand Atlantic,Hate Me (Sometimes),102372
2022-12-08 15:42,nervous_testpilot,The Fix,395413
2022-12-08 15:46,The Crystal Method,Busy Child,288537
2022-12-08 15:57,Cell,Hanging Masses,662250
2022-12-08 16:03,Floex,Casanova,329660
2022-12-08 16:11,Ulrich Schnauss,Sirocco,486643
2022-12-08 16:19,Koan,After the Guiding Venus,475200
2022-12-08 16:24,Rone,Elle,309106
2022-12-08 16:25,Junkie XL,Beauty Never Fades (feat. Saffron),72479
2022-12-08 16:27,The Prodigy,Breathe,69800
2022-12-08 16:34,Easily Embarrassed,Illusions Within Ourselves,439946
2022-12-08 16:38,Neskre,Echoes,249391
2022-12-08 16:44,Apex,Inner Space - Original Mix,379982
2022-12-08 16:46,AES DANA,Opal-In,90019
2022-12-08 17:27,nervous_testpilot,The Fix,394395
2022-12-08 17:29,Shulman,The Unexpected Visitor - CBL Carbonator Remix,142723
2022-12-08 17:37,Ulrich Schnauss,Monday - Paracetamol - 2019 remaster,480760
2022-12-08 17:38,NEREUS,Pathways,4096
2022-12-08 17:41,Antonio Vivaldi,"The Four Seasons - Winter in F Minor, RV. 297: I. Allegro non molto",201853
2022-12-08 17:44,Antonio Vivaldi,"The Four Seasons - Summer in G Minor, RV. 315: III. Presto",167880
2022-12-08 17:46,Antonio Vivaldi,"The Four Seasons - Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto",94587
2022-12-09 07:22,Tigers Jaw,Divide,2095
2022-12-09 07:22,Antonio Vivaldi,"The Four Seasons - Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto",3251
2022-12-09 07:24,Citizen,The Night I Drove Alone,133552
2022-12-09 07:29,Knuckle Puck,True Contrite,295656
2022-12-09 07:32,Fall Out Boy,Jet Pack Blues,179266
2022-12-09 07:32,Ed Sheeran,"Nightmares (feat. Random Impulse, Sway & Wretch 32)",4202
2022-12-09 07:37,Queen,Bohemian Rhapsody - Remastered 2011,327710
2022-12-09 08:06,Queen,Bohemian Rhapsody - Remastered 2011,26610
2022-12-09 08:11,Eat Your Heart Out,Carousel,235000
2022-12-09 08:14,Tiny Moving Parts,Vertebrae,216069
2022-12-09 08:17,Claire Rosinkranz,Frankenstein,202248
2022-12-09 08:18,All Time Low,Break Your Little Heart,0
2022-12-09 08:21,Claire Rosinkranz,Frankenstein,202248
2022-12-09 08:22,Cistem Failure,Belly of the Beast,3309
2022-12-09 08:22,All Time Low,Break Your Little Heart,55672
2022-12-09 08:22,Kodaline,Brand New Day,729
2022-12-09 08:22,ROAM,The Fire On The Ceiling,762
2022-12-09 08:26,All Time Low,"So Long, And Thanks For All The Booze",1054
2022-12-09 08:26,All Time Low,Remembering Sunday,805
2022-12-09 08:26,Kodaline,I Wouldn't Be,803
2022-12-09 08:26,Ed Sheeran,Tenerife Sea,3639
2022-12-09 08:26,Modern Baseball,Going To Bed Now,23
2022-12-09 08:26,Apes of the State,I Listened,243408
2022-12-09 08:29,Ed Sheeran,New York,23
2022-12-09 08:29,Have Mercy,Spacecrafts,1245
2022-12-09 08:29,girl in red,Serotonin,182426
2022-12-09 08:29,Troye Sivan,THE QUIET,4567
2022-12-09 08:29,State Champs,All You Are Is History,1153
2022-12-09 08:29,Kodaline,Follow Your Fire,1291
2022-12-09 08:29,Citizen,Flowerchild,524
2022-12-09 08:41,Steppes,Marceline The Vampire,105026
2022-12-09 13:57,Basement,Spoiled,5730
2022-12-09 13:57,Harry Styles,Carolina,5733
2022-12-09 13:57,The Wombats,Lethal Combination,1860
2022-12-09 13:57,Steppes,Marceline The Vampire,176563
2022-12-09 13:57,All Time Low,Heroes,1009
2022-12-09 14:00,Stand Atlantic,pity party (feat. Royal & the Serpent),161561
2022-12-09 14:04,Citizen,Control,236815
2022-12-09 14:06,Emma Blackery,Don't Come Home,109386
2022-12-09 14:07,Hayley Kiyoko,Expectations (Overture),0
2022-12-09 14:07,Emma Blackery,Don't Come Home,509
2022-12-09 14:07,Troye Sivan,for him.,1084
2022-12-09 14:07,Troye Sivan,Animal,23
2022-12-09 14:10,The Front Bottoms,Peace Sign,192280
2022-12-09 14:11,Citizen,Blue Sunday,56211
2022-12-09 14:14,Neck Deep,The Beach Is For Lovers (Not Lonely Losers),184746
2022-12-09 14:46,The Wombats,Turn,193541
2022-12-09 15:19,The Wombats,Turn,14788
2022-12-09 15:22,Modern Baseball,Cooke,224004
2022-12-09 15:26,Troye Sivan,Bloom,222096
2022-12-09 15:28,Modern Baseball,Play Ball!,136000
2022-12-09 15:33,Cosmo Sheldrake,Come Along,258706
2022-12-09 15:35,Real Friends,Everything I Never Want To Be,145148
2022-12-09 15:38,Basement,Oversized,157586
2022-12-09 15:42,The Front Bottoms,"Fairbanks, Alaska",234160
2022-12-09 15:42,All Time Low,Damned If I Do Ya (Damned If I Don't),44855
2022-12-09 15:46,Real Friends,Get By,212893
2022-12-09 15:49,New Found Glory,Belated,185960
2022-12-09 15:52,Fall Out Boy,Golden,152400
2022-12-09 15:55,Citizen,Cement,222137
2022-12-09 15:58,The Front Bottoms,Lone Star,23
2022-12-09 15:58,Daughter,Youth,13575
2022-12-09 15:58,Stand Atlantic,nails from the back,161024
2022-12-09 15:58,AJR,World's Smallest Violin,880
2022-12-09 16:00,Frankie Cosmos,Fool,124021
2022-12-09 16:03,Neck Deep,Crushing Grief (No Remedy),176470
2022-12-09 16:04,Modern Baseball,Look Out,55506
2022-12-09 16:05,Matt Maltese,As the World Caves In,12011
2022-12-09 16:08,Neck Deep,The Grand Delusion,207406
2022-12-09 16:11,Real Friends,Spread Me All Over Illinois,193929
2022-12-09 16:14,Good Boy Daisy,Grey,167501
2022-12-09 16:14,Airways,Trampoline,15645
2022-12-09 18:36,The Wonder Years,Hoodie Weather,1063
2022-12-09 18:36,Happy.,Don't Overdose and Drive,863
2022-12-09 18:36,Happy.,Don't Overdose and Drive,16308
2022-12-09 18:36,The Wonder Years,Came Out Swinging,624
2022-12-09 18:36,The Maine,Blood Red (Acoustic),23
2022-12-09 18:36,The Maine,Blood Red (Acoustic),0
2022-12-09 18:36,The Front Bottoms,West Virginia,1310
